WORD	STATUS	RANK	COUNT	COUNT_REL
dabei	Y	102	14303	0.0889
muss	Y	103	14125	0.0878
eines	Y	104	13933	0.0866
seiner	Y	105	13834	0.086
will	Y	106	13627	0.0847
geht	Y	107	13408	0.0833
heute	Y	108	13197	0.082
drei	Y	109	12980	0.0807
waren	Y	110	12798	0.0795
jahre	Y	111	12762	0.0793
rund	Y	112	12723	0.0791
menschen	Y	113	12662	0.0787
eu	Y	114	12556	0.078
viel	Y	115	12548	0.078
selbst	Y	116	12444	0.0773
denn	Y	117	12400	0.0771
wiener	Y	118	12276	0.0763
uhr	Y	119	12253	0.0761
neuen	Y	120	12158	0.0755
uns	Y	121	12154	0.0755
gut	Y	122	11917	0.0741
diesem	Y	123	11876	0.0738
ganz	Y	124	11771	0.0731
ersten	Y	125	11727	0.0729
zwischen	Y	126	11568	0.0719
millionen	Y	127	11499	0.0715
dazu	Y	128	11490	0.0714
zeit	Y	129	11422	0.071
weil	Y	130	11404	0.0709
viele	Y	131	11327	0.0704
ja	Y	132	11235	0.0698
sondern	Y	133	11096	0.069
ins	Y	134	10480	0.0651
spö	Y	135	10393	0.0646
ihren	Y	136	10363	0.0644
ihrer	Y	137	10303	0.064
geben	Y	138	10266	0.0638
allem	Y	139	10205	0.0634
etwa	Y	140	10061	0.0625
övp	Y	141	10053	0.0625
seinen	Y	142	10030	0.0623
dieses	Y	143	10027	0.0623
kein	Y	144	10022	0.0623
ohne	Y	145	9991	0.0621
etwas	Y	146	9929	0.0617
machen	Y	147	9839	0.0611
sowie	Y	148	9811	0.061
mich	Y	149	9793	0.0609
alles	Y	150	9773	0.0607
einmal	Y	151	9754	0.0606
mir	Y	152	9735	0.0605
anderen	Y	153	9726	0.0604
werde	Y	154	9584	0.0596
müssen	Y	155	9388	0.0583
weiter	Y	156	9383	0.0583
dafür	Y	157	9134	0.0568
worden	Y	158	9060	0.0563
sagte	Y	159	8977	0.0558
erst	Y	160	8889	0.0552
ob	Y	161	8884	0.0552
wo	Y	162	8868	0.0551
leben	Y	163	8838	0.0549
laut	Y	164	8803	0.0547
kommt	Y	165	8784	0.0546
nichts	Y	166	8726	0.0542
wer	Y	167	8695	0.054
ihm	Y	168	8602	0.0535
steht	Y	169	8396	0.0522
ende	Y	170	8378	0.0521
lassen	Y	171	8328	0.0517
seinem	Y	172	8239	0.0512
land	Y	173	8199	0.0509
wäre	Y	174	8138	0.0506
sollte	Y	175	8134	0.0505
kommen	Y	176	8122	0.0505
sollen	Y	177	8086	0.0502
diesen	Y	178	8014	0.0498
mal	Y	179	7985	0.0496
ihn	Y	180	7963	0.0495
andere	Y	181	7917	0.0492
welt	Y	182	7876	0.0489
also	Y	183	7821	0.0486
s	N	184	7820	0.0486
dort	Y	185	7802	0.0485
wollen	Y	186	7730	0.048
würde	Y	187	7710	0.0479
kinder	Y	188	7558	0.047
seien	Y	189	7533	0.0468
beiden	Y	190	7512	0.0467
allerdings	Y	191	7483	0.0465
vier	Y	192	7481	0.0465
könnte	Y	193	7476	0.0465
zeigt	Y	194	7417	0.0461
derzeit	Y	195	7381	0.0459
macht	Y	196	7337	0.0456
erste	Y	197	7268	0.0452
stadt	Y	198	7165	0.0445
frau	Y	199	7100	0.0441
unternehmen	Y	200	7055	0.0438
große	Y	201	7046	0.0438
z	N	202	6983	0.0434
wegen	Y	203	6981	0.0434
konnte	Y	204	6965	0.0433
dies	Y	205	6946	0.0432
österreichischen	Y	206	6942	0.0431
gab	Y	207	6933	0.0431
bin	Y	208	6923	0.043
letzten	Y	209	6791	0.0422
während	Y	210	6774	0.0421
e	N	211	6669	0.0414
großen	Y	212	6661	0.0414
zwar	Y	213	6639	0.0413
fünf	Y	214	6632	0.0412
sagt	Y	215	6631	0.0412
stehen	Y	216	6621	0.0411
mann	Y	217	6571	0.0408
jedoch	Y	218	6567	0.0408
davon	Y	219	6522	0.0405
jährige	Y	220	6420	0.0399
besonders	Y	221	6356	0.0395
weitere	Y	222	6337	0.0394
ihnen	Y	223	6314	0.0392
ihrem	Y	224	6307	0.0392
du	Y	225	6261	0.0389
daher	Y	226	6166	0.0383
weg	Y	227	6161	0.0383
allen	Y	228	6139	0.0381
sogar	Y	229	6126	0.0381
fpö	Y	230	6124	0.0381
sehen	Y	231	6083	0.0378
neben	Y	232	6078	0.0378
gehen	Y	233	6069	0.0377
würden	Y	234	6043	0.0376
frauen	Y	235	6021	0.0374
fast	Y	236	6009	0.0373
adresse	Y	237	6001	0.0373
einfach	Y	238	5947	0.037
insgesamt	Y	239	5941	0.0369
zurück	Y	240	5936	0.0369
geld	Y	241	5930	0.0368
jeder	Y	242	5906	0.0367
tag	Y	243	5886	0.0366
news	Y	244	5866	0.0365
gerade	Y	245	5860	0.0364
regierung	Y	246	5852	0.0364
frage	Y	247	5793	0.036
liegt	Y	248	5744	0.0357
a	N	249	5743	0.0357
europa	Y	250	5720	0.0355
gewesen	Y	251	5696	0.0354
weniger	Y	252	5596	0.0348
b	N	253	5582	0.0347
natürlich	Y	254	5581	0.0347
hätte	Y	255	5580	0.0347
salzburg	N	256	5558	0.0345
bisher	Y	257	5533	0.0344
zehn	Y	258	5471	0.034
nie	Y	259	5467	0.034
mehrere	Y	260	5448	0.0339
finden	Y	261	5412	0.0336
platz	Y	262	5409	0.0336
wenig	Y	263	5397	0.0335
gegenüber	Y	264	5389	0.0335
statt	Y	265	5387	0.0335
gar	Y	266	5354	0.0333
orf	Y	267	5345	0.0332
lange	Y	268	5309	0.033
wohl	Y	269	5297	0.0329
besten	Y	270	5280	0.0328
us	Y	271	5270	0.0327
vergangenen	Y	272	5247	0.0326
teil	Y	273	5219	0.0324
darauf	Y	274	5198	0.0323
wirklich	Y	275	5154	0.032
fall	Y	276	5141	0.0319
österreichs	Y	277	5119	0.0318
woche	Y	278	5113	0.0318
hatten	Y	279	5018	0.0312
thema	Y	280	4990	0.031
deutschland	Y	281	4973	0.0309
möglich	Y	282	4959	0.0308
zukunft	Y	283	4952	0.0308
sieht	Y	284	4949	0.0308
bezirk	Y	285	4898	0.0304
pro	Y	286	4861	0.0302
gemacht	Y	287	4853	0.0302
kam	Y	288	4852	0.0302
gemeinsam	Y	289	4753	0.0295
chef	Y	290	4736	0.0294
eigenen	Y	291	4725	0.0294
oft	Y	292	4724	0.0294
arbeit	Y	293	4708	0.0293
außerdem	Y	294	4704	0.0292
bleibt	Y	295	4695	0.0292
polizei	Y	296	4686	0.0291
ort	Y	297	4685	0.0291
juni	Y	298	4663	0.029
einige	Y	299	4652	0.0289
österreichische	Y	300	4638	0.0288
weiß	Y	301	4632	0.0288
unsere	Y	302	4610	0.0286
mail	Y	303	4604	0.0286
tun	Y	304	4584	0.0285
besser	Y	305	4582	0.0285
keinen	Y	306	4566	0.0284
meine	Y	307	4562	0.0283
denen	Y	308	4553	0.0283
politik	Y	309	4546	0.0282
hätten	Y	310	4540	0.0282
ziel	Y	311	4489	0.0279
gleich	Y	312	4477	0.0278
familie	Y	313	4464	0.0277
darüber	Y	314	4458	0.0277
juli	Y	315	4455	0.0277
gute	Y	316	4446	0.0276
nächsten	Y	317	4444	0.0276
usa	Y	318	4436	0.0276
lässt	Y	319	4419	0.0275
wollte	Y	320	4417	0.0274
wochen	Y	321	4391	0.0273
sagen	Y	322	4389	0.0273
genau	Y	323	4387	0.0273
klar	Y	324	4381	0.0272
ebenfalls	Y	325	4379	0.0272
sicher	Y	326	4376	0.0272
damals	Y	327	4374	0.0272
später	Y	328	4363	0.0271
austria	Y	329	4354	0.0271
sechs	Y	330	4344	0.027
deshalb	Y	331	4343	0.027
gilt	Y	332	4339	0.027
mai	Y	333	4333	0.0269
bleiben	Y	334	4316	0.0268
wissen	Y	335	4314	0.0268
aller	Y	336	4311	0.0268
sollten	Y	337	4287	0.0266
bereich	Y	338	4265	0.0265
warum	Y	339	4241	0.0264
heuer	Y	340	4218	0.0262
europäischen	Y	341	4128	0.0257
freitag	Y	341	4128	0.0257
zweiten	Y	342	4109	0.0255
vielen	Y	343	4102	0.0255
stunden	Y	344	4076	0.0253
entwicklung	Y	345	4071	0.0253
mio	Y	346	4069	0.0253
u	N	347	4068	0.0253
kärnten	Y	348	4058	0.0252
grünen	Y	349	4039	0.0251
dr	Y	350	4023	0.025
heißt	Y	351	4016	0.025
deutlich	Y	352	4014	0.0249
peter	N	353	4000	0.0249
deren	Y	354	3994	0.0248
haider	Y	354	3994	0.0248
bzw	Y	355	3977	0.0247
stellen	Y	356	3975	0.0247
bringen	Y	357	3960	0.0246
kaum	Y	358	3959	0.0246
bekannt	Y	359	3955	0.0246
geschichte	Y	360	3952	0.0246
arbeiten	Y	361	3948	0.0245
nehmen	Y	362	3947	0.0245
fest	Y	363	3893	0.0242
darf	Y	364	3891	0.0242
bild	Y	365	3880	0.0241
internet	Y	366	3869	0.024
sonntag	Y	367	3841	0.0239
wichtig	Y	368	3830	0.0238
beispiel	Y	369	3814	0.0237
seite	Y	370	3811	0.0237
welche	Y	371	3808	0.0237
schließlich	Y	372	3807	0.0237
vielleicht	Y	372	3807	0.0237
musste	Y	373	3805	0.0236
michael	Y	374	3801	0.0236
paar	Y	375	3799	0.0236
linz	Y	376	3790	0.0236
recht	Y	377	3767	0.0234
zudem	Y	378	3759	0.0234
september	Y	379	3752	0.0233
präsident	Y	380	3727	0.0232
st	Y	381	3706	0.023
erstmals	Y	382	3705	0.023
österreicher	Y	383	3685	0.0229
rahmen	Y	384	3678	0.0229
graz	Y	385	3676	0.0228
könne	Y	386	3672	0.0228
oktober	Y	387	3655	0.0227
musik	Y	388	3648	0.0227
at	Y	389	3647	0.0227
ging	Y	390	3634	0.0226
weit	Y	391	3625	0.0225
kurz	Y	392	3624	0.0225
schüssel	Y	393	3609	0.0224
kleinen	Y	394	3604	0.0224
bekommen	Y	395	3591	0.0223
haus	Y	396	3585	0.0223
april	Y	397	3573	0.0222
hinter	Y	398	3562	0.0221
projekt	Y	399	3561	0.0221
liebe	Y	400	3558	0.0221
findet	Y	401	3554	0.0221
grund	Y	402	3547	0.022
je	Y	403	3536	0.022
trotz	Y	404	3535	0.022
fragen	Y	405	3530	0.0219
eigentlich	Y	406	3529	0.0219
ex	Y	407	3524	0.0219
kleine	Y	408	3521	0.0219
neu	Y	409	3514	0.0218
märz	Y	410	3510	0.0218
erfolg	Y	411	3496	0.0217
müsse	Y	412	3481	0.0216
tage	Y	412	3481	0.0216
jahres	Y	413	3478	0.0216
google	N	414	3466	0.0215
samstag	N	415	3463	0.0215
erklärte	Y	416	3450	0.0214
hin	Y	417	3428	0.0213
personen	Y	418	3421	0.0213
lang	Y	419	3416	0.0212
deutschen	Y	420	3406	0.0212
halten	Y	421	3403	0.0211
montag	Y	422	3399	0.0211
betonte	Y	423	3393	0.0211
programm	Y	424	3391	0.0211
ebenso	Y	425	3387	0.021
dienstag	Y	426	3385	0.021
ganze	Y	427	3382	0.021
konnten	Y	428	3380	0.021
erhalten	Y	429	3369	0.0209
kosten	Y	430	3368	0.0209
plus	Y	430	3368	0.0209
leute	Y	431	3366	0.0209
gegeben	Y	432	3353	0.0208
art	Y	433	3349	0.0208
donnerstag	Y	433	3349	0.0208
eher	Y	433	3349	0.0208
milliarden	Y	434	3348	0.0208
bitte	Y	435	3346	0.0208
schwer	Y	436	3345	0.0208
com	Y	437	3344	0.0208
daran	Y	438	3342	0.0208
wirtschaft	Y	439	3338	0.0207
anfang	Y	440	3332	0.0207
spiel	Y	441	3330	0.0207
stellt	Y	442	3328	0.0207
landeshauptmann	Y	443	3327	0.0207
dürfen	Y	444	3325	0.0207
zeigen	Y	444	3325	0.0207
mein	Y	445	3323	0.0206
bank	Y	446	3315	0.0206
knapp	Y	447	3289	0.0204
zuletzt	Y	448	3280	0.0204
neues	Y	449	3278	0.0204
jeden	Y	450	3265	0.0203
partei	Y	451	3225	0.02
dessen	Y	452	3208	0.0199
spielen	Y	453	3200	0.0199
zusammen	Y	454	3197	0.0199
minuten	Y	455	3188	0.0198
nämlich	Y	456	3180	0.0198
getrennt	Y	457	3175	0.0197
landes	Y	458	3169	0.0197
bietet	Y	459	3165	0.0197
team	Y	460	3150	0.0196
apple	N	461	3148	0.0196
mittwoch	Y	462	3127	0.0194
rolle	Y	463	3117	0.0194
schnell	Y	464	3102	0.0193
beide	Y	465	3087	0.0192
eltern	Y	466	3086	0.0192
august	Y	467	3073	0.0191
könnten	Y	468	3056	0.019
sofort	Y	468	3056	0.019
mitarbeiter	Y	469	3041	0.0189
männer	Y	470	3036	0.0189
mutter	Y	471	3023	0.0188
geworden	Y	472	3008	0.0187
gehört	Y	473	3003	0.0187
möchte	Y	474	3000	0.0186
mittlerweile	Y	475	2999	0.0186
richtig	Y	475	2999	0.0186
überhaupt	Y	476	2996	0.0186
zumindest	Y	477	2991	0.0186
november	Y	478	2990	0.0186
kind	Y	479	2975	0.0185
anders	Y	480	2972	0.0185
wahl	Y	481	2966	0.0184
stark	Y	482	2965	0.0184
dollar	N	483	2959	0.0184
liegen	Y	484	2952	0.0183
karl	N	485	2951	0.0183
stand	Y	486	2947	0.0183
mrd	Y	487	2945	0.0183
sieben	Y	488	2939	0.0183
einsatz	Y	489	2938	0.0183
film	Y	489	2938	0.0183
allein	Y	490	2935	0.0182
hält	Y	490	2935	0.0182
monaten	Y	491	2933	0.0182
politiker	Y	491	2933	0.0182
internationalen	Y	492	2931	0.0182
jene	Y	493	2924	0.0182
bilder	Y	494	2922	0.0182
verfügung	Y	495	2919	0.0181
weiterhin	Y	496	2914	0.0181
weiteren	Y	497	2907	0.0181
erklärt	Y	498	2897	0.018
bringt	Y	499	2890	0.018
ländern	Y	499	2890	0.018
tatsächlich	Y	500	2889	0.018
sommer	Y	501	2886	0.0179
jede	Y	502	2884	0.0179
meisten	Y	503	2883	0.0179
anderem	Y	504	2875	0.0179
problem	Y	505	2874	0.0179
völlig	Y	506	2869	0.0178
danach	Y	507	2863	0.0178
jährigen	Y	507	2863	0.0178
online	Y	508	2860	0.0178
wert	Y	509	2856	0.0177
wasser	Y	510	2855	0.0177
bevölkerung	Y	511	2851	0.0177
gerne	Y	512	2837	0.0176
jänner	Y	512	2837	0.0176
gebracht	Y	513	2826	0.0176
kärntner	Y	514	2825	0.0176
grasser	Y	515	2821	0.0175
kunst	Y	516	2820	0.0175
solche	Y	517	2794	0.0174
acht	Y	518	2791	0.0173
markt	Y	518	2791	0.0173
empfänger	Y	519	2789	0.0173
seines	Y	520	2787	0.0173
franz	Y	521	2782	0.0173
dezember	Y	522	2776	0.0172
facebook	N	522	2776	0.0172
gleichzeitig	Y	523	2773	0.0172
führt	Y	524	2768	0.0172
wolfgang	Y	524	2768	0.0172
jedenfalls	Y	525	2765	0.0172
dennoch	Y	526	2762	0.0172
browser	N	527	2760	0.0172
aufgrund	Y	528	2759	0.0171
oberösterreich	Y	529	2758	0.0171
endlich	Y	530	2752	0.0171
führen	Y	531	2745	0.0171
junge	Y	531	2745	0.0171
zahl	Y	531	2745	0.0171
ergebnis	Y	532	2741	0.017
auto	Y	533	2735	0.017
entscheidung	Y	533	2735	0.017
länder	Y	534	2721	0.0169
preis	Y	535	2720	0.0169
sieg	Y	536	2719	0.0169
eigene	Y	537	2697	0.0168
bürgermeister	Y	538	2687	0.0167
zahlen	Y	539	2677	0.0166
gusenbauer	Y	540	2676	0.0166
braucht	Y	541	2675	0.0166
interview	Y	542	2674	0.0166
xy	N	543	2671	0.0166
unserer	Y	544	2670	0.0166
leicht	Y	545	2669	0.0166
empfängers	Y	546	2667	0.0166
hand	Y	547	2658	0.0165
josef	N	548	2652	0.0165
kommata	Y	549	2651	0.0165
tagen	Y	550	2649	0.0165
ausstellung	Y	551	2647	0.0164
dadurch	Y	551	2647	0.0164
februar	Y	552	2639	0.0164
tv	Y	553	2635	0.0164
innsbruck	Y	554	2632	0.0164
kommenden	Y	555	2614	0.0162
maßnahmen	Y	555	2614	0.0162
zweite	Y	556	2609	0.0162
möglichkeit	Y	557	2602	0.0162
alten	Y	558	2601	0.0162
deutsche	Y	559	2600	0.0162
vater	Y	560	2597	0.0161
gruppe	Y	561	2595	0.0161
sonst	Y	562	2592	0.0161
richtung	Y	563	2580	0.016
vergleich	Y	564	2576	0.016
dürfte	Y	565	2573	0.016
informationen	Y	566	2562	0.0159
bald	Y	567	2561	0.0159
gebe	Y	568	2560	0.0159
setzen	Y	569	2549	0.0158
unser	Y	570	2536	0.0158
fans	Y	571	2535	0.0158
jungen	Y	572	2531	0.0157
mag	Y	573	2527	0.0157
aktuellen	Y	574	2522	0.0157
niederösterreich	Y	575	2520	0.0157
namen	Y	576	2518	0.0156
gekommen	Y	577	2507	0.0156
tirol	Y	578	2506	0.0156
guten	Y	579	2504	0.0156
erwartet	Y	580	2501	0.0155
postleitzahl	Y	581	2499	0.0155
sowohl	Y	582	2497	0.0155
hinaus	Y	583	2494	0.0155
setzt	Y	583	2494	0.0155
d	N	584	2493	0.0155
form	Y	585	2489	0.0155
meter	Y	585	2489	0.0155
of	N	586	2488	0.0155
ließ	Y	587	2486	0.0154
zahlreiche	Y	588	2485	0.0154
direkt	Y	589	2482	0.0154
vorjahr	Y	590	2469	0.0153
herbst	Y	591	2467	0.0153
medien	Y	592	2465	0.0153
präsentiert	Y	593	2461	0.0153
kritik	Y	594	2460	0.0153
groß	Y	595	2458	0.0153
hoch	Y	596	2456	0.0153
monate	Y	597	2455	0.0153
treffen	Y	598	2453	0.0152
zusammenarbeit	Y	598	2453	0.0152
eben	Y	599	2449	0.0152
offenbar	Y	600	2448	0.0152
situation	Y	601	2446	0.0152
neuer	Y	602	2442	0.0152
vorarlberg	Y	603	2436	0.0151
probleme	Y	604	2430	0.0151
obwohl	Y	605	2429	0.0151
tochter	Y	606	2423	0.0151
the	Y	607	2420	0.015
bzö	Y	608	2419	0.015
salzburger	Y	608	2419	0.015
sicherheit	Y	609	2414	0.015
zuvor	Y	609	2414	0.015
schritt	Y	610	2411	0.015
chance	Y	611	2410	0.015
weltweit	Y	611	2410	0.015
iframes	Y	612	2408	0.015
star	Y	613	2405	0.0149
universität	Y	613	2405	0.0149
nacht	Y	614	2404	0.0149
pröll	Y	615	2400	0.0149
straße	Y	616	2399	0.0149
martin	Y	617	2398	0.0149
trotzdem	Y	617	2398	0.0149
nachdem	Y	618	2395	0.0149
leider	Y	619	2386	0.0148
schreiben	Y	620	2382	0.0148
profil	Y	621	2380	0.0148
sorgen	Y	622	2377	0.0148
gesellschaft	Y	623	2373	0.0147
heinz	Y	624	2367	0.0147
raum	Y	624	2367	0.0147
saison	Y	625	2361	0.0147
co	Y	626	2360	0.0147
kopf	Y	627	2353	0.0146
hilfe	Y	628	2348	0.0146
new	Y	629	2345	0.0146
innerhalb	Y	630	2344	0.0146
all	Y	631	2335	0.0145
gefunden	Y	632	2326	0.0145
hingegen	Y	632	2326	0.0145
region	Y	633	2320	0.0144
hohe	Y	634	2319	0.0144
folge	Y	635	2314	0.0144
schaffen	Y	636	2312	0.0144
meinte	Y	637	2309	0.0143
kunden	Y	638	2307	0.0143
stars	Y	639	2290	0.0142
gestellt	Y	640	2277	0.0141
somit	Y	641	2275	0.0141
strache	Y	642	2274	0.0141
erreicht	Y	643	2265	0.0141
höhe	Y	644	2262	0.0141
zeigte	Y	644	2262	0.0141
jedes	Y	645	2258	0.014
hohen	Y	646	2256	0.014
museum	Y	647	2254	0.014
titel	Y	648	2249	0.014
gäste	Y	649	2237	0.0139
dank	Y	650	2230	0.0139
meinung	Y	651	2226	0.0138
zunächst	Y	652	2225	0.0138
politischen	Y	653	2217	0.0138
nimmt	Y	654	2216	0.0138
daten	Y	655	2215	0.0138
ihres	Y	656	2214	0.0138
kindern	Y	657	2206	0.0137
experten	Y	658	2200	0.0137
daß	Y	659	2195	0.0136
christian	Y	660	2191	0.0136
größten	Y	661	2187	0.0136
beginn	Y	662	2186	0.0136
bekommt	Y	663	2185	0.0136
fischer	Y	664	2183	0.0136
alter	Y	665	2181	0.0136
scheint	Y	666	2178	0.0135
top	Y	666	2178	0.0135
europäische	Y	667	2176	0.0135
alte	Y	668	2174	0.0135
ca	Y	669	2173	0.0135
früher	Y	669	2173	0.0135
m	Y	670	2168	0.0135
unterstützung	Y	671	2164	0.0134
stellte	Y	672	2162	0.0134
steiermark	Y	673	2161	0.0134
angebot	Y	674	2159	0.0134
gesagt	Y	674	2159	0.0134
größte	Y	675	2158	0.0134
genug	Y	676	2152	0.0134
abend	Y	677	2150	0.0134
erfolgreich	Y	678	2145	0.0133
meiner	Y	679	2139	0.0133
bundeskanzler	Y	680	2135	0.0133
gemeinde	Y	680	2135	0.0133
dagegen	Y	681	2134	0.0133
spricht	Y	682	2132	0.0132
ernst	Y	683	2130	0.0132
folgen	Y	683	2130	0.0132
kultur	Y	684	2128	0.0132
künftig	Y	684	2128	0.0132
niemand	Y	685	2126	0.0132
per	Y	685	2126	0.0132
studie	Y	686	2124	0.0132
runde	Y	687	2118	0.0132
thomas	Y	687	2118	0.0132
spielt	Y	688	2114	0.0131
fotos	Y	689	2113	0.0131
system	Y	689	2113	0.0131
kommentar	Y	690	2105	0.0131
einigen	Y	691	2099	0.013
berichtet	Y	692	2098	0.013
läuft	Y	693	2095	0.013
buch	Y	694	2079	0.0129
letzte	Y	695	2078	0.0129
mitte	Y	696	2073	0.0129
jeweils	Y	697	2072	0.0129
gesehen	Y	698	2070	0.0129
künstler	Y	699	2068	0.0129
offen	Y	700	2067	0.0128
verloren	Y	701	2066	0.0128
interesse	Y	702	2065	0.0128
internationale	Y	703	2060	0.0128
brauchen	Y	704	2050	0.0127
darum	Y	705	2047	0.0127
lesen	Y	706	2046	0.0127
beste	Y	707	2044	0.0127
politische	Y	708	2042	0.0127
tod	Y	709	2038	0.0127
opfer	Y	710	2032	0.0126
qualität	Y	711	2029	0.0126
zusammenhang	Y	711	2029	0.0126
machte	Y	712	2028	0.0126
wichtige	Y	713	2027	0.0126
zusätzlich	Y	714	2025	0.0126
kommission	Y	715	2024	0.0126
blick	Y	716	2019	0.0125
großer	Y	717	2018	0.0125
erster	Y	718	2017	0.0125
burgenland	Y	719	2015	0.0125
start	Y	719	2015	0.0125
besucher	Y	720	2014	0.0125
gemeinden	Y	720	2014	0.0125
krise	Y	720	2014	0.0125
meinen	Y	720	2014	0.0125
durchaus	Y	721	2004	0.0125
parlament	Y	722	2002	0.0124
zeichen	Y	723	2001	0.0124
schwarz	Y	724	2000	0.0124
nutzer	Y	725	1999	0.0124
nächste	Y	725	1999	0.0124
einzige	Y	726	1993	0.0124
sohn	Y	727	1990	0.0124
ganzen	Y	728	1988	0.0124
seiten	Y	729	1982	0.0123
stelle	Y	729	1982	0.0123
bühne	Y	730	1981	0.0123
entwickelt	Y	731	1977	0.0123
geplant	Y	732	1969	0.0122
mädchen	Y	732	1969	0.0122
kirche	Y	733	1965	0.0122
öffentlichen	Y	734	1962	0.0122
staaten	Y	735	1954	0.0121
genommen	Y	736	1952	0.0121
nein	Y	737	1950	0.0121
bieten	Y	738	1946	0.0121
jedem	Y	738	1946	0.0121
darin	Y	739	1940	0.0121
maria	Y	740	1937	0.012
schule	Y	741	1935	0.012
rot	Y	742	1934	0.012
de	Y	743	1927	0.012
gewinnen	Y	744	1926	0.012
angaben	Y	745	1922	0.0119
publikum	Y	746	1921	0.0119
zeiten	Y	746	1921	0.0119
voll	Y	747	1919	0.0119
partner	Y	748	1918	0.0119
verletzt	Y	749	1916	0.0119
sache	Y	750	1911	0.0119
bedeutet	Y	751	1906	0.0118
show	Y	752	1905	0.0118
längst	Y	753	1904	0.0118
parteien	Y	754	1892	0.0118
iphone	Y	755	1889	0.0117
gespräch	Y	756	1887	0.0117
bedeutung	Y	757	1885	0.0117
grüne	Y	758	1880	0.0117
hans	Y	759	1877	0.0117
besteht	Y	760	1874	0.0116
handelt	Y	761	1870	0.0116
lösung	Y	761	1870	0.0116
inzwischen	Y	762	1867	0.0116
angst	Y	763	1866	0.0116
notwendig	Y	764	1864	0.0116
erreichen	Y	765	1863	0.0116
gehe	Y	766	1854	0.0115
italien	Y	767	1852	0.0115
zeitung	Y	768	1848	0.0115
europas	Y	769	1845	0.0115
nahm	Y	770	1840	0.0114
bürger	Y	771	1838	0.0114
neun	Y	772	1827	0.0114
versucht	Y	773	1826	0.0113
dritten	Y	774	1821	0.0113
wären	Y	774	1821	0.0113
wolle	Y	775	1817	0.0113
klagenfurt	Y	776	1814	0.0113
unterstützt	Y	777	1813	0.0113
banken	Y	778	1812	0.0113
laufen	Y	779	1811	0.0113
